image_index,image_filename,image_summary,visible_species_in_image,landscape_elements,human_activities_in_image,plants_detected_names,animals_detected_names,human_activities_detected_labels,plants_detected_raw,animals_detected_raw,human_activities_detected_raw,raw_response,parse_ok,error
11,19深圳市龙岗区鹏飞公园_M260605_1.jpg,child on playground,[],playground equipment; trees; grass,climbing; running,[],[],climbing; running,[],[],"[{""activity"": ""climbing"", ""count_estimate"": ""1"", ""confidence"": 0.95}, {""activity"": ""running"", ""count_estimate"": ""1"", ""confidence"": 0.85}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""child on playground"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""playground equipment"",
        ""trees"",
        ""grass""
      ],
      ""human_activities_in_image"": [
        ""climbing"",
        ""running""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""climbing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""running"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.85
        }
      ]
    }
  ]
}",True,
12,19深圳市龙岗区鹏飞公园_洛克旅行_8.jpg,children playing at beach,[],beach; sand; ocean; mountains,playing in water; bending down,[],[],playing in water,[],[],"[{""activity"": ""playing in water"", ""count_estimate"": ""2"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""children playing at beach"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""beach"",
        ""sand"",
        ""ocean"",
        ""mountains""
      ],
      ""human_activities_in_image"": [
        ""playing in water"",
        ""bending down""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""playing in water"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
13,1天津市蓟州区盘山_M10332_3.jpg,child eating noodles,[],pavement; building; table,eating; using chopsticks,[],[],eating,[],[],"[{""activity"": ""eating"", ""count_estimate"": ""1"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""child eating noodles"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""pavement"",
        ""building"",
        ""table""
      ],
      ""human_activities_in_image"": [
        ""eating"",
        ""using chopsticks""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""eating"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
14,1天津市蓟州区盘山_M325599_1.jpg,Boy by waterfall,[],waterfall; rocks; trees; fog,posing for photo,unknown,[],posing,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]",[],"[{""activity"": ""posing"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Boy by waterfall"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""waterfall"",
        ""rocks"",
        ""trees"",
        ""fog""
      ],
      ""human_activities_in_image"": [
        ""posing for photo""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""posing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
15,1天津市蓟州区盘山_M512101_9.jpg,Stone statue face,[],tree trunk; sky,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Stone statue face"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""tree trunk"",
        ""sky""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
16,1天津市蓟州区盘山_Y涵0709_2.jpg,woman in stream,[],stream; rocks; trees; forest,sitting; playing water gun,unknown,[],sitting; playing water gun,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""many"", ""confidence"": 0.85}]",[],"[{""activity"": ""sitting"", ""count_estimate"": ""1"", ""confidence"": 0.95}, {""activity"": ""playing water gun"", ""count_estimate"": ""1"", ""confidence"": 0.92}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""woman in stream"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""stream"",
        ""rocks"",
        ""trees"",
        ""forest""
      ],
      ""human_activities_in_image"": [
        ""sitting"",
        ""playing water gun""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""sitting"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""playing water gun"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.92
        }
      ]
    }
  ]
}",True,
17,1天津市蓟州区盘山_不可触碰撞的鱼_10.jpg,stone statues in rocky landscape,[],rock; stone steps; trees,[],unknown,[],[],"[{""scientific_name"": ""unknown"", ""count_estimate"": ""multiple"", ""confidence"": 0.75}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""stone statues in rocky landscape"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""rock"",
        ""stone steps"",
        ""trees""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.75
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
18,1天津市蓟州区盘山_安静96_1.jpg,Laughing Buddha statue,[],trees; rocks; stone steps; stone statues,[],unknown,[],[],"[{""scientific_name"": ""unknown"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Laughing Buddha statue"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""trees"",
        ""rocks"",
        ""stone steps"",
        ""stone statues""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
19,1深圳市南山区深圳野生动物园_1345311_2.jpg,Tourists feeding tiger,Panthera tigris,cage; enclosure; ground,feeding animal; sitting; pointing,[],Panthera tigris,feeding; sitting,[],"[{""scientific_name"": ""Panthera tigris"", ""count_estimate"": ""1"", ""confidence"": 0.85}]","[{""activity"": ""feeding"", ""count_estimate"": ""1"", ""confidence"": 0.92}, {""activity"": ""sitting"", ""count_estimate"": ""6"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Tourists feeding tiger"",
      ""visible_species_in_image"": [
        ""Panthera tigris""
      ],
      ""landscape_elements"": [
        ""cage"",
        ""enclosure"",
        ""ground""
      ],
      ""human_activities_in_image"": [
        ""feeding animal"",
        ""sitting"",
        ""pointing""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [
        {
          ""scientific_name"": ""Panthera tigris"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.85
        }
      ],
      ""human_activities_detected"": [
        {
          ""activity"": ""feeding"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.92
        },
        {
          ""activity"": ""sitting"",
          ""count_estimate"": ""6"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
20,1深圳市南山区深圳野生动物园_1566626_2.jpg,elephant ride show,Elephas maximus,forest; concrete ground; rock wall,riding elephant; standing near elephant,Ficus microcarpa; unknown species,Elephas maximus,riding elephant; standing,"[{""scientific_name"": ""Ficus microcarpa"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}, {""scientific_name"": ""unknown species"", ""count_estimate"": ""1"", ""confidence"": 0.6}]","[{""scientific_name"": ""Elephas maximus"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","[{""activity"": ""riding elephant"", ""count_estimate"": ""2"", ""confidence"": 0.9}, {""activity"": ""standing"", ""count_estimate"": ""1"", ""confidence"": 0.9}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""elephant ride show"",
      ""visible_species_in_image"": [
        ""Elephas maximus""
      ],
      ""landscape_elements"": [
        ""forest"",
        ""concrete ground"",
        ""rock wall""
      ],
      ""human_activities_in_image"": [
        ""riding elephant"",
        ""standing near elephant""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Ficus microcarpa"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        },
        {
          ""scientific_name"": ""unknown species"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.6
        }
      ],
      ""animals_detected"": [
        {
          ""scientific_name"": ""Elephas maximus"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ],
      ""human_activities_detected"": [
        {
          ""activity"": ""riding elephant"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.9
        },
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.9
        }
      ]
    }
  ]
}",True,
21,1深圳市南山区深圳野生动物园_300520_6.jpg,Circus performance,[],stage; barrier,performing; standing; watching,[],[],performing; watching,[],[],"[{""activity"": ""performing"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}, {""activity"": ""watching"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Circus performance"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""stage"",
        ""barrier""
      ],
      ""human_activities_in_image"": [
        ""performing"",
        ""standing"",
        ""watching""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""performing"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""watching"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ]
    }
  ]
}",True,
22,1深圳市南山区深圳野生动物园_CamilleQQW_2.jpg,feeding pigs,Sus scrofa domesticus,paved ground; building facade,feeding animals; crouching; holding bottle,[],Sus scrofa domesticus,feeding animals,[],"[{""scientific_name"": ""Sus scrofa domesticus"", ""count_estimate"": ""2"", ""confidence"": 0.95}]","[{""activity"": ""feeding animals"", ""count_estimate"": ""2"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""feeding pigs"",
      ""visible_species_in_image"": [
        ""Sus scrofa domesticus""
      ],
      ""landscape_elements"": [
        ""paved ground"",
        ""building facade""
      ],
      ""human_activities_in_image"": [
        ""feeding animals"",
        ""crouching"",
        ""holding bottle""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [
        {
          ""scientific_name"": ""Sus scrofa domesticus"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.95
        }
      ],
      ""human_activities_detected"": [
        {
          ""activity"": ""feeding animals"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
23,1深圳市南山区深圳野生动物园_K_S__2.jpg,Child feeding fish,Cyprinus carpio,pond; chain-link fence; concrete path; trees,feeding fish; standing by water,[],Cyprinus carpio,feeding fish,[],"[{""scientific_name"": ""Cyprinus carpio"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]","[{""activity"": ""feeding fish"", ""count_estimate"": ""1"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Child feeding fish"",
      ""visible_species_in_image"": [
        ""Cyprinus carpio""
      ],
      ""landscape_elements"": [
        ""pond"",
        ""chain-link fence"",
        ""concrete path"",
        ""trees""
      ],
      ""human_activities_in_image"": [
        ""feeding fish"",
        ""standing by water""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [
        {
          ""scientific_name"": ""Cyprinus carpio"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ],
      ""human_activities_detected"": [
        {
          ""activity"": ""feeding fish"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
24,1深圳市南山区深圳野生动物园_KerryChi_1.jpg,Child on ride,[],trees; building,riding; sitting,[],[],riding,[],[],"[{""activity"": ""riding"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Child on ride"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""trees"",
        ""building""
      ],
      ""human_activities_in_image"": [
        ""riding"",
        ""sitting""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""riding"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
25,1深圳市南山区深圳野生动物园_Lansling_1.jpg,equestrian show,[],stage; curtain; painted backdrop,riding horses; performing,[],Equus ferus caballus,riding,[],"[{""scientific_name"": ""Equus ferus caballus"", ""count_estimate"": ""5"", ""confidence"": 0.98}]","[{""activity"": ""riding"", ""count_estimate"": ""5"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""equestrian show"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""stage"",
        ""curtain"",
        ""painted backdrop""
      ],
      ""human_activities_in_image"": [
        ""riding horses"",
        ""performing""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [
        {
          ""scientific_name"": ""Equus ferus caballus"",
          ""count_estimate"": ""5"",
          ""confidence"": 0.98
        }
      ],
      ""human_activities_detected"": [
        {
          ""activity"": ""riding"",
          ""count_estimate"": ""5"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
26,1深圳市南山区深圳野生动物园_M296412_6.jpg,Child in red coat,[],aquarium display; glass tank; artificial plants,posing for photo; standing,[],[],posing for photo,[],[],"[{""activity"": ""posing for photo"", ""count_estimate"": ""1"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Child in red coat"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""aquarium display"",
        ""glass tank"",
        ""artificial plants""
      ],
      ""human_activities_in_image"": [
        ""posing for photo"",
        ""standing""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""posing for photo"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
27,1深圳市南山区深圳野生动物园_M355505_1.jpg,person eating ice cream,[],trees; pavement; tents,eating; standing,unknown,[],eating ice cream; standing,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]",[],"[{""activity"": ""eating ice cream"", ""count_estimate"": ""1"", ""confidence"": 0.95}, {""activity"": ""standing"", ""count_estimate"": ""1"", ""confidence"": 0.9}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""person eating ice cream"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""trees"",
        ""pavement"",
        ""tents""
      ],
      ""human_activities_in_image"": [
        ""eating"",
        ""standing""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""eating ice cream"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.9
        }
      ]
    }
  ]
}",True,
28,1深圳市南山区深圳野生动物园_M355505_3.jpg,Family with camel,Camelus ferus,pavement; bamboo forest; signboard,riding camel; photographing; standing,[],Camelus ferus,riding camel; photographing,[],"[{""scientific_name"": ""Camelus ferus"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","[{""activity"": ""riding camel"", ""count_estimate"": ""2"", ""confidence"": 0.98}, {""activity"": ""photographing"", ""count_estimate"": ""1"", ""confidence"": 0.97}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Family with camel"",
      ""visible_species_in_image"": [
        ""Camelus ferus""
      ],
      ""landscape_elements"": [
        ""pavement"",
        ""bamboo forest"",
        ""signboard""
      ],
      ""human_activities_in_image"": [
        ""riding camel"",
        ""photographing"",
        ""standing""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [
        {
          ""scientific_name"": ""Camelus ferus"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ],
      ""human_activities_detected"": [
        {
          ""activity"": ""riding camel"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.98
        },
        {
          ""activity"": ""photographing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.97
        }
      ]
    }
  ]
}",True,
29,1深圳市南山区深圳野生动物园_M363723_3.jpg,horses and riders,Equus ferus caballus,dirt path; fence; trees; sky,horse riding,[],Equus ferus caballus,riding horses,[],"[{""scientific_name"": ""Equus ferus caballus"", ""count_estimate"": ""2"", ""confidence"": 0.95}]","[{""activity"": ""riding horses"", ""count_estimate"": ""2"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""horses and riders"",
      ""visible_species_in_image"": [
        ""Equus ferus caballus""
      ],
      ""landscape_elements"": [
        ""dirt path"",
        ""fence"",
        ""trees"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""horse riding""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [
        {
          ""scientific_name"": ""Equus ferus caballus"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.95
        }
      ],
      ""human_activities_detected"": [
        {
          ""activity"": ""riding horses"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
