source_row,用户名,emotions,influence_of_emotions,text_species_mentions,feeling_correlated_to_text_species,text_activities_or_facilities,feeling_correlated_to_text_activities_or_facilities,comment_sentiment_score_0_to_1,raw_response,parse_ok,error
26,1天津市蓟州区盘山_五岳之首山山,Happiness; Gratitude; Contentment,"Natural beauty, kindness, family bonding",[],[],hiking; photography; feeding fish; using fishing net; buying water and food; driving to park; visiting artificial lake; visiting waterfall; visiting wind turbines; visiting mountain gate,hiking - joyful; photography - delighted; feeding fish - charming; using fishing net - grateful; buying water and food - practical; driving to park - convenient; visiting artificial lake - peaceful; visiting waterfall - awe-inspiring; visiting wind turbines - curious; visiting mountain gate - impressive,0.95,"{
  ""text_analysis"": {
    ""emotions"": [""Happiness"", ""Gratitude"", ""Contentment""],
    ""influence_of_emotions"": ""Natural beauty, kindness, family bonding"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""hiking"", ""photography"", ""feeding fish"", ""using fishing net"", ""buying water and food"", ""driving to park"", ""visiting artificial lake"", ""visiting waterfall"", ""visiting wind turbines"", ""visiting mountain gate""],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""hiking - joyful"",
      ""photography - delighted"",
      ""feeding fish - charming"",
      ""using fishing net - grateful"",
      ""buying water and food - practical"",
      ""driving to park - convenient"",
      ""visiting artificial lake - peaceful"",
      ""visiting waterfall - awe-inspiring"",
      ""visiting wind turbines - curious"",
      ""visiting mountain gate - impressive""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.95
    }
  }
}",True,
27,1天津市蓟州区盘山_爱旅游的小敏子,Happiness; Admiration; Excitement,"Scenic views, romantic vibe, personal achievement",[],[],hiking; mountain climbing; panoramic view from summit,hiking - rewarding; mountain climbing - romantic; panoramic view from summit - awe-inspiring,0.9,"{
  ""text_analysis"": {
    ""emotions"": [""Happiness"", ""Admiration"", ""Excitement""],
    ""influence_of_emotions"": ""Scenic views, romantic vibe, personal achievement"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""hiking"", ""mountain climbing"", ""panoramic view from summit""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""hiking - rewarding"", ""mountain climbing - romantic"", ""panoramic view from summit - awe-inspiring""],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.90
    }
  }
}",True,
28,1天津市蓟州区盘山_M512101,Contentment; Excitement; Pride,Mountain climbing passion,[],[],Mountain climbing; Scenic appreciation,Mountain climbing - Competitive joy; Scenic appreciation - Deep admiration,0.95,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Excitement"", ""Pride""],
    ""influence_of_emotions"": ""Mountain climbing passion"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""Mountain climbing"", ""Scenic appreciation""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""Mountain climbing - Competitive joy"", ""Scenic appreciation - Deep admiration""],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.95
    }
  }
}",True,
29,1天津市蓟州区盘山_天下逍遥郎,Disappointment; Relief; Caution,Cost vs value,[],[],hangyue cableway; yunsong cableway; walking trail; flowing water; stone formations; Buddhist pagodas; ticketing gate,hangyue cableway - efficient; yunsong cableway - time saver; walking trail - tiring; flowing water - scenic; stone formations - unremarkable; Buddhist pagodas - cultural; ticketing gate - necessary,0.35,"{
  ""text_analysis"": {
    ""emotions"": [""Disappointment"", ""Relief"", ""Caution""],
    ""influence_of_emotions"": ""Cost vs value"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""hangyue cableway"", ""yunsong cableway"", ""walking trail"", ""flowing water"", ""stone formations"", ""Buddhist pagodas"", ""ticketing gate""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""hangyue cableway - efficient"", ""yunsong cableway - time saver"", ""walking trail - tiring"", ""flowing water - scenic"", ""stone formations - unremarkable"", ""Buddhist pagodas - cultural"", ""ticketing gate - necessary""],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.35
    }
  }
}",True,
30,1天津市蓟州区盘山_渭南松赞干布,[],,[],[],cable car; mountain peak; temples; pagodas; stone carvings,cable car - convenient; mountain peak - majestic; temples - historic; pagodas - elegant; stone carvings - cultural,0.75,"{
  ""text_analysis"": {
    ""emotions"": [],
    ""influence_of_emotions"": """",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""cable car"",
      ""mountain peak"",
      ""temples"",
      ""pagodas"",
      ""stone carvings""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""cable car - convenient"",
      ""mountain peak - majestic"",
      ""temples - historic"",
      ""pagodas - elegant"",
      ""stone carvings - cultural""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.75
    }
  }
}",True,
31,1天津市蓟州区盘山_宣达,Contentment; Admiration,"Scenic views, mountain top",[],[],[],[],0.75,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Admiration""],
    ""influence_of_emotions"": ""Scenic views, mountain top"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.75
    }
  }
}",True,
32,1天津市蓟州区盘山_M26115,Contentment; Relaxation,"Smooth journey, scenic views",[],[],Climbing stairs; Cable car; Wansong Temple; Mountain trail,Climbing stairs - Tiring; Cable car - Convenient; Wansong Temple - Scenic; Mountain trail - Moderate interest,0.75,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Relaxation""],
    ""influence_of_emotions"": ""Smooth journey, scenic views"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""Climbing stairs"", ""Cable car"", ""Wansong Temple"", ""Mountain trail""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""Climbing stairs - Tiring"", ""Cable car - Convenient"", ""Wansong Temple - Scenic"", ""Mountain trail - Moderate interest""],
    ""comment_sentiment"": {""score_0_to_1"": 0.75}
  }
}",True,
33,1天津市蓟州区盘山_tigerA,[],,[],[],cable car; climbing stairs; stream; Wan Song Temple; mountain gate,cable car - convenient; climbing stairs - exercise; stream - refreshing; Wan Song Temple - reachable; mountain gate - entrance,0.6,"{
  ""text_analysis"": {
    ""emotions"": [],
    ""influence_of_emotions"": """",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""cable car"", ""climbing stairs"", ""stream"", ""Wan Song Temple"", ""mountain gate""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""cable car - convenient"", ""climbing stairs - exercise"", ""stream - refreshing"", ""Wan Song Temple - reachable"", ""mountain gate - entrance""],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.60
    }
  }
}",True,
34,1天津市蓟州区盘山_吃榆,Contentment; Admiration,Mountain view,[],[],Cable car; Hiking,Cable car - Convenient; Hiking - Challenging,0.75,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Admiration""],
    ""influence_of_emotions"": ""Mountain view"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""Cable car"", ""Hiking""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""Cable car - Convenient"", ""Hiking - Challenging""],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.75
    }
  }
}",True,
35,1天津市蓟州区盘山_小幸运,Contentment; Excitement; Relaxation,"Family outing, scenic views, comfortable weather",[],[],Climbing; Cable car; Scenic views; Mountain and water landscape,Climbing - Challenging but rewarding; Cable car - Convenient descent; Scenic views - Beautiful; Mountain and water landscape - Relaxing,0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Excitement"", ""Relaxation""],
    ""influence_of_emotions"": ""Family outing, scenic views, comfortable weather"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""Climbing"", ""Cable car"", ""Scenic views"", ""Mountain and water landscape""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""Climbing - Challenging but rewarding"", ""Cable car - Convenient descent"", ""Scenic views - Beautiful"", ""Mountain and water landscape - Relaxing""],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
36,1天津市蓟州区盘山_芊芊云朵,Admiration; Pride; Contentment,Historical grandeur,[],[],[],[],0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Pride"", ""Contentment""],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
37,1天津市蓟州区盘山_M291262,[],,[],[],[],[],0.0,"{
  ""text_analysis"": {
    ""emotions"": [],
    ""influence_of_emotions"": """",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.00
    }
  }
}",True,
