source_row,用户名,emotions,influence_of_emotions,text_species_mentions,feeling_correlated_to_text_species,text_activities_or_facilities,feeling_correlated_to_text_activities_or_facilities,comment_sentiment_score_0_to_1,raw_response,parse_ok,error
11,1天津市蓟州区盘山_小车迷,Contentment; Relaxation,Scenic views,[],[],Cable car; Hiking,Cable car - Crowded; Hiking - Exhausting,0.65,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Relaxation""],
    ""influence_of_emotions"": ""Scenic views"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""Cable car"", ""Hiking""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""Cable car - Crowded"", ""Hiking - Exhausting""],
    ""comment_sentiment"": {""score_0_to_1"": 0.65}
  }
}",True,
12,1天津市蓟州区盘山_张家老飞侠,Contentment; Appreciation; Excitement,"Scenic beauty, convenience, historical praise",[],[],cable car; staying at farmhouse,cable car - convenient; farmhouse - relaxing,0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Appreciation"", ""Excitement""],
    ""influence_of_emotions"": ""Scenic beauty, convenience, historical praise"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""cable car"", ""staying at farmhouse""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""cable car - convenient"", ""farmhouse - relaxing""],
    ""comment_sentiment"": {""score_0_to_1"": 0.85}
  }
}",True,
13,1天津市蓟州区盘山_叁剑飚血,Contentment; Frustration,Crowd avoidance,[],[],[],[],0.65,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Frustration""],
    ""influence_of_emotions"": ""Crowd avoidance"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.65
    }
  }
}",True,
14,1天津市蓟州区盘山_旅行家系我,Relief; Excitement; Gratitude,Unexpected delay,[],[],[],[],0.75,"{
  ""text_analysis"": {
    ""emotions"": [""Relief"", ""Excitement"", ""Gratitude""],
    ""influence_of_emotions"": ""Unexpected delay"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.75
    }
  }
}",True,
15,1天津市蓟州区盘山_水晶石水晶石,Contentment; Relaxation; Admiration,Natural scenery,[],[],walking; photography; cloud pine cable car; ecological bus; mountain trails; waterfalls; rivers; temples; rock formations; towers,walking - peaceful; photography - enjoyable; cloud pine cable car - convenient; ecological bus - efficient; mountain trails - scenic; waterfalls - refreshing; rivers - calming; temples - serene; rock formations - majestic; towers - historic,0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Relaxation"", ""Admiration""],
    ""influence_of_emotions"": ""Natural scenery"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""walking"",
      ""photography"",
      ""cloud pine cable car"",
      ""ecological bus"",
      ""mountain trails"",
      ""waterfalls"",
      ""rivers"",
      ""temples"",
      ""rock formations"",
      ""towers""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""walking - peaceful"",
      ""photography - enjoyable"",
      ""cloud pine cable car - convenient"",
      ""ecological bus - efficient"",
      ""mountain trails - scenic"",
      ""waterfalls - refreshing"",
      ""rivers - calming"",
      ""temples - serene"",
      ""rock formations - majestic"",
      ""towers - historic""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
16,1天津市蓟州区盘山_把剑长歌,Contentment; Relaxation; Admiration,Natural beauty,北红尾鸲,北红尾鸲 - Melodious,Climbing; Cable car,Climbing - Tiring; Cable car - Convenient,0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Relaxation"", ""Admiration""],
    ""influence_of_emotions"": ""Natural beauty"",
    ""text_species_mentions"": [""北红尾鸲""],
    ""feeling_correlated_to_text_species"": [""北红尾鸲 - Melodious""],
    ""text_activities_or_facilities"": [""Climbing"", ""Cable car""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""Climbing - Tiring"", ""Cable car - Convenient""],
    ""comment_sentiment"": {""score_0_to_1"": 0.85}
  }
}",True,
17,1天津市蓟州区盘山__CFT04873,Fatigue; Gratitude; Warning,"Physical exertion, local kindness, caution",[],[],walking; visiting temple; taking cable car; climbing mountain; queueing for cable car,walking - exhausting; visiting temple - rewarding; taking cable car - time-consuming; climbing mountain - physically demanding; queueing for cable car - frustrating,0.45,"{
  ""text_analysis"": {
    ""emotions"": [""Fatigue"", ""Gratitude"", ""Warning""],
    ""influence_of_emotions"": ""Physical exertion, local kindness, caution"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""walking"", ""visiting temple"", ""taking cable car"", ""climbing mountain"", ""queueing for cable car""],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""walking - exhausting"",
      ""visiting temple - rewarding"",
      ""taking cable car - time-consuming"",
      ""climbing mountain - physically demanding"",
      ""queueing for cable car - frustrating""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.45
    }
  }
}",True,
18,1天津市蓟州区盘山_水儿Doris,[],,[],[],[],[],0.0,"{
  ""text_analysis"": {
    ""emotions"": [],
    ""influence_of_emotions"": """",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.00
    }
  }
}",True,
19,1天津市蓟州区盘山_海纳百川,Admiration; Pride; Contentment,Natural grandeur,[],[],[],[],0.95,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Pride"", ""Contentment""],
    ""influence_of_emotions"": ""Natural grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.95
    }
  }
}",True,
20,1天津市蓟州区盘山_海纳百川,Admiration; Respect; Pride,Historical grandeur,[],[],[],[],0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Respect"", ""Pride""],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
21,1天津市蓟州区盘山_果汁分你一半,Admiration; Pride; Contentment,Historical grandeur,[],[],[],[],0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Pride"", ""Contentment""],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
22,1天津市蓟州区盘山_绝对正经人,[],,[],[],[],[],0.75,"{
  ""text_analysis"": {
    ""emotions"": [],
    ""influence_of_emotions"": """",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.75
    }
  }
}",True,
23,1天津市蓟州区盘山_老少皆宜程世荣,Contentment; Gratitude; Hope,"Historical beauty, coolness, quiet",[],[],[],[],0.75,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Gratitude"", ""Hope""],
    ""influence_of_emotions"": ""Historical beauty, coolness, quiet"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {""score_0_to_1"": 0.75}
  }
}",True,
24,1天津市蓟州区盘山_果汁分你一半,[],,[],[],[],[],0.5,"{
  ""text_analysis"": {
    ""emotions"": [],
    ""influence_of_emotions"": """",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.50
    }
  }
}",True,
25,1天津市蓟州区盘山_钱的女人,Contentment; Excitement; Gratitude,"Revisiting place, scenic beauty, shared joy",[],[],cloud pine cable car; hiking; night view; travel with friends,cloud pine cable car - recommended; hiking - enjoyable; night view - serene beauty; travel with friends - happy,0.95,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Excitement"", ""Gratitude""],
    ""influence_of_emotions"": ""Revisiting place, scenic beauty, shared joy"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""cloud pine cable car"",
      ""hiking"",
      ""night view"",
      ""travel with friends""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""cloud pine cable car - recommended"",
      ""hiking - enjoyable"",
      ""night view - serene beauty"",
      ""travel with friends - happy""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.95
    }
  }
}",True,
26,1天津市蓟州区盘山_五岳之首山山,Happiness; Gratitude; Contentment,"Nature beauty, kindness, family bonding",[],[],mountain climbing; photography; feeding fish; using fishing net; parking; artificial lake; waterfall; forest trail,mountain climbing - joyful; photography - delighted; feeding fish - playful; using fishing net - grateful; parking - convenient; artificial lake - peaceful; waterfall - awe-inspiring; forest trail - serene,0.92,"{
  ""text_analysis"": {
    ""emotions"": [""Happiness"", ""Gratitude"", ""Contentment""],
    ""influence_of_emotions"": ""Nature beauty, kindness, family bonding"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""mountain climbing"", ""photography"", ""feeding fish"", ""using fishing net"", ""parking"", ""artificial lake"", ""waterfall"", ""forest trail""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""mountain climbing - joyful"", ""photography - delighted"", ""feeding fish - playful"", ""using fishing net - grateful"", ""parking - convenient"", ""artificial lake - peaceful"", ""waterfall - awe-inspiring"", ""forest trail - serene""],
    ""comment_sentiment"": {""score_0_to_1"": 0.92}
  }
}",True,
27,1天津市蓟州区盘山_爱旅游的小敏子,Contentment; Excitement; Admiration,"Scenic view, romantic vibe, effort rewarded",[],[],hiking; mountain climbing; view from summit,hiking - joyful effort; mountain climbing - romantic; view from summit - awe-inspiring,0.92,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Excitement"", ""Admiration""],
    ""influence_of_emotions"": ""Scenic view, romantic vibe, effort rewarded"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""hiking"", ""mountain climbing"", ""view from summit""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""hiking - joyful effort"", ""mountain climbing - romantic"", ""view from summit - awe-inspiring""],
    ""comment_sentiment"": {""score_0_to_1"": 0.92}
  }
}",True,
28,1天津市蓟州区盘山_M512101,Contentment; Excitement; Pride,Mountain climbing passion,[],[],Mountain climbing; Scenic appreciation; Hiking trail,Mountain climbing - Mastery; Scenic appreciation - Enchanting; Hiking trail - Rewarding,0.95,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Excitement"", ""Pride""],
    ""influence_of_emotions"": ""Mountain climbing passion"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""Mountain climbing"", ""Scenic appreciation"", ""Hiking trail""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""Mountain climbing - Mastery"", ""Scenic appreciation - Enchanting"", ""Hiking trail - Rewarding""],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.95
    }
  }
}",True,
29,1天津市蓟州区盘山_天下逍遥郎,Disappointment; Relief; Caution,"High cost, low reward",[],[],hangyue cable car; yunsong cable car; walking trail; flowing water; stones; Buddha towers; ticket validation; mountain path,hangyue cable car - convenient; yunsong cable car - faster; walking trail - tiring; flowing water - scenic; stones - rugged; Buddha towers - spiritual; ticket validation - necessary; mountain path - steep,0.3,"{
  ""text_analysis"": {
    ""emotions"": [""Disappointment"", ""Relief"", ""Caution""],
    ""influence_of_emotions"": ""High cost, low reward"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""hangyue cable car"",
      ""yunsong cable car"",
      ""walking trail"",
      ""flowing water"",
      ""stones"",
      ""Buddha towers"",
      ""ticket validation"",
      ""mountain path""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""hangyue cable car - convenient"",
      ""yunsong cable car - faster"",
      ""walking trail - tiring"",
      ""flowing water - scenic"",
      ""stones - rugged"",
      ""Buddha towers - spiritual"",
      ""ticket validation - necessary"",
      ""mountain path - steep""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.30
    }
  }
}",True,
30,1天津市蓟州区盘山_渭南松赞干布,[],,[],[],cable car; mountain peak; temple; pagoda; stone inscriptions,cable car - convenient; mountain peak - majestic; temple - historical; pagoda - elegant; stone inscriptions - cultural,0.75,"{
  ""text_analysis"": {
    ""emotions"": [],
    ""influence_of_emotions"": """",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [
      ""cable car"",
      ""mountain peak"",
      ""temple"",
      ""pagoda"",
      ""stone inscriptions""
    ],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""cable car - convenient"",
      ""mountain peak - majestic"",
      ""temple - historical"",
      ""pagoda - elegant"",
      ""stone inscriptions - cultural""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.75
    }
  }
}",True,
31,1天津市蓟州区盘山_宣达,Contentment; Admiration,"Scenic views, mountain top",[],[],[],[],0.75,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Admiration""],
    ""influence_of_emotions"": ""Scenic views, mountain top"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.75
    }
  }
}",True,
32,1天津市蓟州区盘山_M26115,Contentment; Relaxation; Gratitude,"Smooth journey, scenic views, practical advice",[],[],Climbing stairs; Cable car; Wansong Temple; Scenic spots,Climbing stairs - Tiring; Cable car - Convenient; Wansong Temple - Interesting; Scenic spots - Pleasing,0.75,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Relaxation"", ""Gratitude""],
    ""influence_of_emotions"": ""Smooth journey, scenic views, practical advice"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""Climbing stairs"", ""Cable car"", ""Wansong Temple"", ""Scenic spots""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""Climbing stairs - Tiring"", ""Cable car - Convenient"", ""Wansong Temple - Interesting"", ""Scenic spots - Pleasing""],
    ""comment_sentiment"": {""score_0_to_1"": 0.75}
  }
}",True,
33,1天津市蓟州区盘山_tigerA,[],,[],[],cable car; climbing stairs; stream; Wansong Temple; mountain gate,cable car - convenient; climbing stairs - exercise; stream - refreshing; Wansong Temple - destination; mountain gate - entrance,0.65,"{
  ""text_analysis"": {
    ""emotions"": [],
    ""influence_of_emotions"": """",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""cable car"", ""climbing stairs"", ""stream"", ""Wansong Temple"", ""mountain gate""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""cable car - convenient"", ""climbing stairs - exercise"", ""stream - refreshing"", ""Wansong Temple - destination"", ""mountain gate - entrance""],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.65
    }
  }
}",True,
34,1天津市蓟州区盘山_吃榆,Contentment; Amusement,Scenic view,[],[],Cable car; Mountain climbing,Cable car - Convenient; Mountain climbing - Challenging,0.75,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Amusement""],
    ""influence_of_emotions"": ""Scenic view"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""Cable car"", ""Mountain climbing""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""Cable car - Convenient"", ""Mountain climbing - Challenging""],
    ""comment_sentiment"": {""score_0_to_1"": 0.75}
  }
}",True,
35,1天津市蓟州区盘山_小幸运,Contentment; Surprise; Excitement,"Family outing, scenic views, unexpected climb",[],[],Climbing; Cable car; Scenic views,Climbing - Challenging; Cable car - Convenient; Scenic views - Pleasant,0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Surprise"", ""Excitement""],
    ""influence_of_emotions"": ""Family outing, scenic views, unexpected climb"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""Climbing"", ""Cable car"", ""Scenic views""],
    ""feeling_correlated_to_text_activities_or_facilities"": [""Climbing - Challenging"", ""Cable car - Convenient"", ""Scenic views - Pleasant""],
    ""comment_sentiment"": {""score_0_to_1"": 0.85}
  }
}",True,
36,1天津市蓟州区盘山_芊芊云朵,Admiration; Pride; Contentment,Historical grandeur,[],[],[],[],0.9,"{
  ""text_analysis"": {
    ""emotions"": [""Admiration"", ""Pride"", ""Contentment""],
    ""influence_of_emotions"": ""Historical grandeur"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.90
    }
  }
}",True,
37,1天津市蓟州区盘山_M291262,[],,[],[],[],[],0.0,"{
  ""text_analysis"": {
    ""emotions"": [],
    ""influence_of_emotions"": """",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [],
    ""feeling_correlated_to_text_activities_or_facilities"": [],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.00
    }
  }
}",True,
38,1天津市蓟州区盘山_JamesCHN,Contentment; Pride; Excitement,Mountain ascent challenge,[],[],Mountaineering; Cable car; Bus ride; Wansong Temple,Mountaineering - Fulfilling; Cable car - Efficient; Bus ride - Convenient; Wansong Temple - Spiritual,0.85,"{
  ""text_analysis"": {
    ""emotions"": [""Contentment"", ""Pride"", ""Excitement""],
    ""influence_of_emotions"": ""Mountain ascent challenge"",
    ""text_species_mentions"": [],
    ""feeling_correlated_to_text_species"": [],
    ""text_activities_or_facilities"": [""Mountaineering"", ""Cable car"", ""Bus ride"", ""Wansong Temple""],
    ""feeling_correlated_to_text_activities_or_facilities"": [
      ""Mountaineering - Fulfilling"",
      ""Cable car - Efficient"",
      ""Bus ride - Convenient"",
      ""Wansong Temple - Spiritual""
    ],
    ""comment_sentiment"": {
      ""score_0_to_1"": 0.85
    }
  }
}",True,
